topic,url,overview,symptoms,causes,tests,treatment
A1AT Deficiency,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency-rare,"Alpha-1 antitrypsin deficiency is a genetic disease, which means it’s passed down to you from your parents. It can cause serious lung or liver disease. You may also hear it called AAT deficiency. Symptoms often include trouble breathing and jaundiced, or yellow, skin. There's no cure, but treatments can help you manage your liver and breathing problems. You get the disease because your liver doesn't make enough of a protein called alpha-1 antitrypsin, or AAT. You need AAT to protect your lungs. Without it, infections and other irritants, like tobacco smoke, break down parts of your lung even faster. If you have AAT deficiency, you might not have breathing symptoms until you're in your 20s or 30s. When they start, you could feel short of breath or wheeze when you breathe, just like someone who has asthma. For some people, AAT deficiency can cause chronic obstructive pulmonary obstructive disease (COPD). When you have COPD, you often have symptoms of emphysema, a serious condition that makes it hard for you to push air out of your lungs. COPD can make you cough up mucus, make you wheeze or have trouble breathing, and make your chest feel tight.You also might have chronic bronchitis, an irritation of your airways that makes you cough a lot and causes breathing problems. You'll probably need to take medicine through an inhaler that you carry around, like the type that people with asthma use. This is something you'll need to do the rest of your life. Keep in mind that no two cases of AAT deficiency are alike. Not everyone gets severe symptoms. With treatment, you’ll probably still be able to work, exercise, and enjoy many of your favorite hobbies. Reach out to a circle of friends and family, and ask your doctor about support groups. It can help to talk to people who understand what you're going through.","You might not know you have the disease until you're an adult. Most people get it between the ages of 20 and 40. You may feel short of breath, especially when you try to exercise. You also could start to wheeze or have a whistling sound when you breathe.You may also get a lot of lung infections. Other warning signs include: If AAT deficiency causes problems with your liver, you could have symptoms like: A newborn baby might have: It’s rare, but some people also get a skin disease called panniculitis. It causes hardening of the skin along with painful lumps or patches.","Alpha-1 antitrypsin deficiency runs in families. If you have it, you got it from faulty genes that both your parents passed down to you. Some people get the genes but don't have any symptoms. Or they have a mild version of the disease. The broken genes you get from your parents cause you to have a low level of AAT protein in your blood. It can build up in the liver instead of going into your bloodstream. That buildup in your liver causes liver disease. The shortage of AAT protein in your bloodstream leads to lung disease.","Your doctor may ask you questions such as: Your doctor will also listen to your breathing with a stethoscope to check for wheezing or other signs that your lungs aren't working right. You need to get blood tests to confirm your diagnosis. These tests check to see if you have the broken genes that cause AAT deficiency. They also look to see how much of the protein you have in your bloodstream. Your doctor will also tests your lungs and liver to see how much damage the condition has caused. For example, a chest X-ray might shows signs of emphysema. A special blood test checks the oxygen level in your arteries, a sign of how well your lungs work. You might breathe into a tube to see how much air you're getting into your lungs. Another blood test checks for problems with your liver. You may also get a liver biopsy. For this test, your doctor uses a very thin needle to take some cells from your liver and check them for signs of damage.","Although there’s no cure for AAT deficiency, you can raise the amount of AAT protein in your blood, which protects you against more lung damage. Doctors call this augmentation therapy. You may also have this treatment if you get emphysema. Augmentation therapy is also called replacement therapy. You get a new supply of AAT protein that comes from the blood of healthy human donors. You get the treatment once a week. The replacement alpha-1 gets into your body through an IV. You can have this done at home with the help of a technician, or you can go to a doctor's office. The goal of augmentation therapy is to slow or stop the damage in your lungs. It won't reverse the disease or heal any damage you already have. You’ll need these treatments for the rest of your life. Depending on how you're doing, you also may get medication that you breathe into your lungs with an inhaler. Doctors call this a bronchodilator, meaning that it opens your airways. If your breathing trouble leads to low levels of oxygen in your blood, you might need to get extra oxygen through a mask or nosepiece. Your doctor will also give you a referral for pulmonary rehab to help you breathe better."
AAT,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency-rare,"Alpha-1 antitrypsin deficiency is a genetic disease, which means it’s passed down to you from your parents. It can cause serious lung or liver disease. You may also hear it called AAT deficiency. Symptoms often include trouble breathing and jaundiced, or yellow, skin. There's no cure, but treatments can help you manage your liver and breathing problems. You get the disease because your liver doesn't make enough of a protein called alpha-1 antitrypsin, or AAT. You need AAT to protect your lungs. Without it, infections and other irritants, like tobacco smoke, break down parts of your lung even faster. If you have AAT deficiency, you might not have breathing symptoms until you're in your 20s or 30s. When they start, you could feel short of breath or wheeze when you breathe, just like someone who has asthma. For some people, AAT deficiency can cause chronic obstructive pulmonary obstructive disease (COPD). When you have COPD, you often have symptoms of emphysema, a serious condition that makes it hard for you to push air out of your lungs. COPD can make you cough up mucus, make you wheeze or have trouble breathing, and make your chest feel tight.You also might have chronic bronchitis, an irritation of your airways that makes you cough a lot and causes breathing problems. You'll probably need to take medicine through an inhaler that you carry around, like the type that people with asthma use. This is something you'll need to do the rest of your life. Keep in mind that no two cases of AAT deficiency are alike. Not everyone gets severe symptoms. With treatment, you’ll probably still be able to work, exercise, and enjoy many of your favorite hobbies. Reach out to a circle of friends and family, and ask your doctor about support groups. It can help to talk to people who understand what you're going through.","You might not know you have the disease until you're an adult. Most people get it between the ages of 20 and 40. You may feel short of breath, especially when you try to exercise. You also could start to wheeze or have a whistling sound when you breathe.You may also get a lot of lung infections. Other warning signs include: If AAT deficiency causes problems with your liver, you could have symptoms like: A newborn baby might have: It’s rare, but some people also get a skin disease called panniculitis. It causes hardening of the skin along with painful lumps or patches.","Alpha-1 antitrypsin deficiency runs in families. If you have it, you got it from faulty genes that both your parents passed down to you. Some people get the genes but don't have any symptoms. Or they have a mild version of the disease. The broken genes you get from your parents cause you to have a low level of AAT protein in your blood. It can build up in the liver instead of going into your bloodstream. That buildup in your liver causes liver disease. The shortage of AAT protein in your bloodstream leads to lung disease.","Your doctor may ask you questions such as: Your doctor will also listen to your breathing with a stethoscope to check for wheezing or other signs that your lungs aren't working right. You need to get blood tests to confirm your diagnosis. These tests check to see if you have the broken genes that cause AAT deficiency. They also look to see how much of the protein you have in your bloodstream. Your doctor will also tests your lungs and liver to see how much damage the condition has caused. For example, a chest X-ray might shows signs of emphysema. A special blood test checks the oxygen level in your arteries, a sign of how well your lungs work. You might breathe into a tube to see how much air you're getting into your lungs. Another blood test checks for problems with your liver. You may also get a liver biopsy. For this test, your doctor uses a very thin needle to take some cells from your liver and check them for signs of damage.","Although there’s no cure for AAT deficiency, you can raise the amount of AAT protein in your blood, which protects you against more lung damage. Doctors call this augmentation therapy. You may also have this treatment if you get emphysema. Augmentation therapy is also called replacement therapy. You get a new supply of AAT protein that comes from the blood of healthy human donors. You get the treatment once a week. The replacement alpha-1 gets into your body through an IV. You can have this done at home with the help of a technician, or you can go to a doctor's office. The goal of augmentation therapy is to slow or stop the damage in your lungs. It won't reverse the disease or heal any damage you already have. You’ll need these treatments for the rest of your life. Depending on how you're doing, you also may get medication that you breathe into your lungs with an inhaler. Doctors call this a bronchodilator, meaning that it opens your airways. If your breathing trouble leads to low levels of oxygen in your blood, you might need to get extra oxygen through a mask or nosepiece. Your doctor will also give you a referral for pulmonary rehab to help you breathe better."
AAT Deficiency,https://www.webmd.com/lung/copd/alpha-1-antitrypsin-deficiency-rare,"Alpha-1 antitrypsin deficiency is a genetic disease, which means it’s passed down to you from your parents. It can cause serious lung or liver disease. You may also hear it called AAT deficiency. Symptoms often include trouble breathing and jaundiced, or yellow, skin. There's no cure, but treatments can help you manage your liver and breathing problems. You get the disease because your liver doesn't make enough of a protein called alpha-1 antitrypsin, or AAT. You need AAT to protect your lungs. Without it, infections and other irritants, like tobacco smoke, break down parts of your lung even faster. If you have AAT deficiency, you might not have breathing symptoms until you're in your 20s or 30s. When they start, you could feel short of breath or wheeze when you breathe, just like someone who has asthma. For some people, AAT deficiency can cause chronic obstructive pulmonary obstructive disease (COPD). When you have COPD, you often have symptoms of emphysema, a serious condition that makes it hard for you to push air out of your lungs. COPD can make you cough up mucus, make you wheeze or have trouble breathing, and make your chest feel tight.You also might have chronic bronchitis, an irritation of your airways that makes you cough a lot and causes breathing problems. You'll probably need to take medicine through an inhaler that you carry around, like the type that people with asthma use. This is something you'll need to do the rest of your life. Keep in mind that no two cases of AAT deficiency are alike. Not everyone gets severe symptoms. With treatment, you’ll probably still be able to work, exercise, and enjoy many of your favorite hobbies. Reach out to a circle of friends and family, and ask your doctor about support groups. It can help to talk to people who understand what you're going through.","You might not know you have the disease until you're an adult. Most people get it between the ages of 20 and 40. You may feel short of breath, especially when you try to exercise. You also could start to wheeze or have a whistling sound when you breathe.You may also get a lot of lung infections. Other warning signs include: If AAT deficiency causes problems with your liver, you could have symptoms like: A newborn baby might have: It’s rare, but some people also get a skin disease called panniculitis. It causes hardening of the skin along with painful lumps or patches.","Alpha-1 antitrypsin deficiency runs in families. If you have it, you got it from faulty genes that both your parents passed down to you. Some people get the genes but don't have any symptoms. Or they have a mild version of the disease. The broken genes you get from your parents cause you to have a low level of AAT protein in your blood. It can build up in the liver instead of going into your bloodstream. That buildup in your liver causes liver disease. The shortage of AAT protein in your bloodstream leads to lung disease.","Your doctor may ask you questions such as: Your doctor will also listen to your breathing with a stethoscope to check for wheezing or other signs that your lungs aren't working right. You need to get blood tests to confirm your diagnosis. These tests check to see if you have the broken genes that cause AAT deficiency. They also look to see how much of the protein you have in your bloodstream. Your doctor will also tests your lungs and liver to see how much damage the condition has caused. For example, a chest X-ray might shows signs of emphysema. A special blood test checks the oxygen level in your arteries, a sign of how well your lungs work. You might breathe into a tube to see how much air you're getting into your lungs. Another blood test checks for problems with your liver. You may also get a liver biopsy. For this test, your doctor uses a very thin needle to take some cells from your liver and check them for signs of damage.","Although there’s no cure for AAT deficiency, you can raise the amount of AAT protein in your blood, which protects you against more lung damage. Doctors call this augmentation therapy. You may also have this treatment if you get emphysema. Augmentation therapy is also called replacement therapy. You get a new supply of AAT protein that comes from the blood of healthy human donors. You get the treatment once a week. The replacement alpha-1 gets into your body through an IV. You can have this done at home with the help of a technician, or you can go to a doctor's office. The goal of augmentation therapy is to slow or stop the damage in your lungs. It won't reverse the disease or heal any damage you already have. You’ll need these treatments for the rest of your life. Depending on how you're doing, you also may get medication that you breathe into your lungs with an inhaler. Doctors call this a bronchodilator, meaning that it opens your airways. If your breathing trouble leads to low levels of oxygen in your blood, you might need to get extra oxygen through a mask or nosepiece. Your doctor will also give you a referral for pulmonary rehab to help you breathe better."
Abdominal Migraine,https://www.webmd.com/migraines-headaches/cyclic-vomiting-migraines,"    Migraines are the kind of headaches that are most likely to make you nauseated. Of people who have migraines, 8 out of 10 have nausea with them too.  Research shows women and anyone prone to motion sickness are more apt to have nausea with migraines. It’s not clear why women are more affected than men, but some experts think it’s linked to changes in hormones. You can also get migraines during pregnancy. You might have pain on one side of your head and you may be nauseated. If you had migraines before you were pregnant, you may have fewer migraines while expecting. Or, you may notice an uptick in your number of headaches.Cyclic vomiting syndrome(CVS). This gastrointestinal (GI) disorder is linked to migraine headaches, but it’s not a type of migraine. It happens most often in children, though kids usually outgrow them by the time they're teenagers. Some kids with CVS go on to have migraines as adults. You’re more likely to develop CVS as an adult if you have a history of migraines or long-term marijuana use, or you’re prone to motion sickness. Triggers include hot weather, physical or emotional stress, and sinus or respiratory infections. The main symptoms of CVS are sudden episodes of severe nausea and vomiting. These attacks can last for a few hours or several days. You might vomit several times an hour.  Between episodes, you may feel healthy and have no symptoms. Doctors might misdiagnose your CVS as food poisoning or stomach flu. ",,Some less common causes may include:,,"Some things that might help include: Headache and nausea are common, and they can happen to you at the same time.  Experts don’t know why they seem to be more likely in some people. But they do know things like dehydration, migraine, or other conditions can cause you to have headache and nausea together."
Abercrombie Syndrome,https://www.webmd.com/cancer/lymphoma/amyloidosis-symptoms-causes-treatments,,,,,
Abnormal Pap Test,https://www.webmd.com/women/guide/pap-smear,"A Pap smear, also called a Pap test, is an exam a doctor uses to test for cervical cancer in women. It can also reveal changes in your cervical cells that may turn into cancer later.",,A Pap smear is considered a safe procedure. But it’s possible that the test may miss some abnormal cells or cervical cancers (false negative). Talk to your doctor about the benefits and risks of cervical cancer screening.,,
Abortion,https://www.webmd.com/women/abortion-procedures,"When you schedule your appointment, your health care provider will probably give you some instructions over the phone. Because in-clinic abortions are considered surgeries, you may have to fast starting around midnight the night before your procedure.When you arrive at the clinic, you’ll fill out some paperwork and answer questions about your medical history. You’ll then get a pre-abortion workup, which includes a physical examination, pregnancy test, blood test, screening for sexually transmitted infections, and possibly additional testing, if your case warrants it. Many providers will also use an ultrasound to confirm how far along you are in your pregnancy and check for uterine, fetal, or placental abnormalities. All of this information, which your doctor will discuss with you during a short counseling session, will help them determine which procedure is right for you.",,,,
Abruptio Placenta,https://www.webmd.com/baby/what-is-placental-abruption,"Placental abruption is something that can happen suddenly during pregnancy. It can be dangerous for you and your baby. Fortunately, it’s not common. Your placenta develops in your uterus while you’re pregnant. It sends nutrients and oxygen from you to your baby, and it helps get rid of waste that builds up in your baby’s blood. It’s attached to the wall of your uterus, and your baby is attached to that by their umbilical cord. If you have placental abruption, the placenta separates from your uterus too soon, before your baby is ready to be born.","Placental abruption affects about 1% of pregnant woman. It can occur at any time after 20 weeks of pregnancy, but it’s most common in the third trimester. When it happens, it’s usually sudden. You might notice vaginal bleeding, but there might not be any. The amount of blood can vary. Just because there’s not a lot of blood doesn’t mean the placental abruption isn’t severe. Sometimes, blood gets trapped inside the uterus.Other signs include: Placental abruption can happen little by little, too, called “chronic abruption.” You might notice:  ","Most of the time, doctors don’t know the cause. But drinking alcohol or using cocaine while you’re pregnant can increase your risk. Other things that can play a role include:You can’t prevent placental abruption, but there are some things you can avoid, such as tobacco, alcohol, and drugs to reduce your odds. You should tell your doctor if you’ve had placental abruption before. They’ll monitor you closely. They also may suggest other ways you can prevent it from happening again.","If you’re having bleeding or abdominal pain, you’ll need to see your doctor right away. They’ll do a physical exam and run blood tests, and also may perform an ultrasound to see inside your uterus. (Ultrasounds don’t always show placental abruptions).","The placenta can’t be reattached, so your treatment options depend on how far along you are in your pregnancy, severity of the abruption and status of mother and baby. "
"Abruption, Placental",https://www.webmd.com/baby/what-is-placental-abruption,"Placental abruption is something that can happen suddenly during pregnancy. It can be dangerous for you and your baby. Fortunately, it’s not common. Your placenta develops in your uterus while you’re pregnant. It sends nutrients and oxygen from you to your baby, and it helps get rid of waste that builds up in your baby’s blood. It’s attached to the wall of your uterus, and your baby is attached to that by their umbilical cord. If you have placental abruption, the placenta separates from your uterus too soon, before your baby is ready to be born.","Placental abruption affects about 1% of pregnant woman. It can occur at any time after 20 weeks of pregnancy, but it’s most common in the third trimester. When it happens, it’s usually sudden. You might notice vaginal bleeding, but there might not be any. The amount of blood can vary. Just because there’s not a lot of blood doesn’t mean the placental abruption isn’t severe. Sometimes, blood gets trapped inside the uterus.Other signs include: Placental abruption can happen little by little, too, called “chronic abruption.” You might notice:  ","Most of the time, doctors don’t know the cause. But drinking alcohol or using cocaine while you’re pregnant can increase your risk. Other things that can play a role include:You can’t prevent placental abruption, but there are some things you can avoid, such as tobacco, alcohol, and drugs to reduce your odds. You should tell your doctor if you’ve had placental abruption before. They’ll monitor you closely. They also may suggest other ways you can prevent it from happening again.","If you’re having bleeding or abdominal pain, you’ll need to see your doctor right away. They’ll do a physical exam and run blood tests, and also may perform an ultrasound to see inside your uterus. (Ultrasounds don’t always show placental abruptions).","The placenta can’t be reattached, so your treatment options depend on how far along you are in your pregnancy, severity of the abruption and status of mother and baby. "
Abscessed Tooth,https://www.webmd.com/oral-health/guide/abscessed-tooth,"In some cases, the area around the tooth hurts, but not always. If it does, it’s usually a sharp, throbbing pain, especially when you put pressure on your tooth. It might also spread to your jaw or other parts of your face on the side that’s affected. You might also notice:Sometimes an abscess causes a pimple-like bump on your gum. If you press it and liquid oozes out, it’s a sure bet you have an abscessed tooth. That liquid is pus. If you have swelling in your face and a fever, or you have trouble breathing or swallowing, go to the emergency room. The infection may have spread to other parts of your body.","In some cases, the area around the tooth hurts, but not always. If it does, it’s usually a sharp, throbbing pain, especially when you put pressure on your tooth. It might also spread to your jaw or other parts of your face on the side that’s affected. You might also notice:Sometimes an abscess causes a pimple-like bump on your gum. If you press it and liquid oozes out, it’s a sure bet you have an abscessed tooth. That liquid is pus. If you have swelling in your face and a fever, or you have trouble breathing or swallowing, go to the emergency room. The infection may have spread to other parts of your body.","Your tooth is hard on the outside, but the inside is filled with a pulp made up of nerves, connective tissue, and blood vessels. Sometimes it gets infected. Most often that results from: If you don’t treat the infection, it can kill the pulp and lead to an abscess. There are two common types:You can get more than one abscess. Or one abscess can travel through the bone and show up in several spots. But each is related to only one tooth. You’re more likely to have these kinds of issues if you don’t brush your teeth at least twice a day or if there’s a lot of sugar in your diet. Sugary foods and drinks help bacteria grow, and that can lead to cavities and other problems.",,"The goal is to get rid of the infection. To do that, the endodontist may try: Antibiotics. If the infection has spread past the abscess site to your jaw or farther into your body, you’ll probably get them. However, they won’t cure the abscess. Extraction. If the endodontist can’t save the tooth, it will have to come out. Root canal. You may have heard about this common way to treat an abscess. It’s the best way to save your tooth. The endodontist drills into your tooth and cleans the pulp from inside it and the root canals that go down into your gum. They fill and seal the empty spaces. You’ll either get a filling or a crown. The restored tooth will look and work just like your other teeth. Surgery. You may need it to drain a periodontal abscess. Keep in mind, if an abscess ruptures, your pain will ease but you'll still need treatment from a dentist or endodontist."
